H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202504,一次オフライン,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250404B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250404B06,合計（確報値）,募集量（TSO別）[MW],42,74,217,156,77,212,175,16,167,1136
20250404B06,合計（確報値）,応札量合計（電源属地別）[MW],1.99,0,1.85,0,0,1.85,0,0,8.453,14.143
20250404B06,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1.85,0,0,1.85,0,0,8.453,12.153
20250404B06,合計（確報値）,応札件数（電源属地別）[件],1,0,1,0,0,1,0,0,5,8
20250404B06,合計（確報値）,約定件数（電源属地別）[件],0,0,1,0,0,1,0,0,5,7
20250404B06,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250404B06,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,10.6,5.57
20250404B06,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,15.47,12.62
20250404B06,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250404B06,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,10.6,5.57
20250404B06,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,15.47,12.62
20250404B06,合計（確報値）,約定量合計（TSO別）[MW],0,0,1.85,0,0,1.85,0,0,8.453,12.153
20250404B06,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,1.85,0,0,1.85,0,0,8.453,12.153
20250404B07,システム約定結果,募集量（TSO別）[MW],43,74,207,157,74,208,175,16,134,1088
20250404B07,システム約定結果,応札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,システム約定結果,落札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,システム約定結果,応札件数（電源属地別）[件],0,0,1,0,0,0,0,0,1,2
20250404B07,システム約定結果,落札件数（電源属地別）[件],0,0,1,0,0,0,0,0,1,2
20250404B07,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,19.5
20250404B07,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B07,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,12.79
20250404B07,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,19.5
20250404B07,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B07,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,12.79
20250404B07,システム約定結果,落札量合計（TSO別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250404B07,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B07,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250404B07,合計（確報値）,募集量（TSO別）[MW],43,74,207,157,74,208,175,16,134,1088
20250404B07,合計（確報値）,応札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,合計（確報値）,応札件数（電源属地別）[件],0,0,1,0,0,0,0,0,1,2
20250404B07,合計（確報値）,約定件数（電源属地別）[件],0,0,1,0,0,0,0,0,1,2
20250404B07,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,19.5
20250404B07,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B07,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,12.79
20250404B07,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,19.5
20250404B07,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B07,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,12.79
20250404B07,合計（確報値）,約定量合計（TSO別）[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B07,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,1.85,0,0,0,0,0,1.99,3.84
20250404B08,システム約定結果,募集量（TSO別）[MW],56,74,217,163,67,207,168,16,135,1103
20250404B08,システム約定結果,応札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,システム約定結果,落札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,システム約定結果,応札件数（電源属地別）[件],0,0,1,0,0,0,0,0,2,3
20250404B08,システム約定結果,落札件数（電源属地別）[件],0,0,1,0,0,0,0,0,2,3
20250404B08,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.51,19.51
20250404B08,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B08,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,14.34
20250404B08,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.51,19.51
20250404B08,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B08,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,14.34
20250404B08,システム約定結果,落札量合計（TSO別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250404B08,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250404B08,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250404B08,合計（確報値）,募集量（TSO別）[MW],56,74,217,163,67,207,168,16,135,1103
20250404B08,合計（確報値）,応札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,合計（確報値）,応札件数（電源属地別）[件],0,0,1,0,0,0,0,0,2,3
20250404B08,合計（確報値）,約定件数（電源属地別）[件],0,0,1,0,0,0,0,0,2,3
20250404B08,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.51,19.51
20250404B08,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B08,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,14.34
20250404B08,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.51,19.51
20250404B08,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,5.57
20250404B08,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,0,0,0,19.5,14.34
20250404B08,合計（確報値）,約定量合計（TSO別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250404B08,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250405B01,システム約定結果,募集量（TSO別）[MW],41,74,170,140,59,178,161,16,127,966
20250405B01,システム約定結果,応札量合計（電源属地別）[MW],1,0,0,0,0,1.85,0,0,3.14,5.99
20250405B01,システム約定結果,落札量合計（電源属地別）[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B01,システム約定結果,応札件数（電源属地別）[件],1,0,0,0,0,1,0,0,2,4
20250405B01,システム約定結果,落札件数（電源属地別）[件],0,0,0,0,0,1,0,0,2,3
20250405B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.51,19.51
20250405B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,6.63
20250405B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,14.73
20250405B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.51,19.51
20250405B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,6.63
20250405B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,14.73
20250405B01,システム約定結果,落札量合計（TSO別）[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B01,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250405B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250405B01,合計（確報値）,募集量（TSO別）[MW],41,74,170,140,59,178,161,16,127,966
20250405B01,合計（確報値）,応札量合計（電源属地別）[MW],1,0,0,0,0,1.85,0,0,3.14,5.99
20250405B01,合計（確報値）,約定量合計（電源属地別）[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B01,合計（確報値）,応札件数（電源属地別）[件],1,0,0,0,0,1,0,0,2,4
20250405B01,合計（確報値）,約定件数（電源属地別）[件],0,0,0,0,0,1,0,0,2,3
20250405B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.51,19.51
20250405B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,6.63
20250405B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,14.73
20250405B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.51,19.51
20250405B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,6.63
20250405B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,6.63,0,0,19.5,14.73
20250405B01,合計（確報値）,約定量合計（TSO別）[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B01,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,0,0,0,1.85,0,0,3.14,4.99
20250405B02,システム約定結果,募集量（TSO別）[MW],49,74,165,144,62,178,159,16,131,978
20250405B02,システム約定結果,応札量合計（電源属地別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,システム約定結果,落札量合計（電源属地別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,システム約定結果,応札件数（電源属地別）[件],0,0,1,0,0,1,0,0,2,4
20250405B02,システム約定結果,落札件数（電源属地別）[件],0,0,1,0,0,1,0,0,2,4
20250405B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250405B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,5.57
20250405B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,12.25
20250405B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250405B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,5.57
20250405B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,12.25
20250405B02,システム約定結果,落札量合計（TSO別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,システム約定結果,（内訳）自エリアからの落札量[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250405B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250405B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250405B02,合計（確報値）,募集量（TSO別）[MW],49,74,165,144,62,178,159,16,131,978
20250405B02,合計（確報値）,応札量合計（電源属地別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,合計（確報値）,約定量合計（電源属地別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,合計（確報値）,応札件数（電源属地別）[件],0,0,1,0,0,1,0,0,2,4
20250405B02,合計（確報値）,約定件数（電源属地別）[件],0,0,1,0,0,1,0,0,2,4
20250405B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250405B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,5.57
20250405B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,12.25
20250405B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.51,19.51
20250405B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,5.57
20250405B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],0,0,5.57,0,0,6.63,0,0,19.5,12.25
20250405B02,合計（確報値）,約定量合計（TSO別）[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B02,合計（確報値）,（内訳）自エリアからの約定量[MW],0,0,1.85,0,0,1.85,0,0,3.14,6.84
20250405B03,システム約定結果,募集量（TSO別）[MW],74,74,256,169,71,231,171,16,152,1214
20250405B03,システム約定結果,応札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
20250405B03,システム約定結果,落札量合計（電源属地別）[MW],0,0,1.85,0,0,0,0,0,3.14,4.99
